Dyckman Valley School - P.S. 152;93 Nagle Avenue;40,860412;-73,927936;10040
Earth People;333-335 East 8th Street;40,725022;-73,979172;10009
Earth School - P.S.64;600 East 6th Street;40,72438;-73,98138;10009
East 103rd Street Community Garden;105 E 103rd Street;40,790817;-73,948859;10029
East 143rd Street Community Garden (Bronx Community & Cultural Garden or North Church Garden);401 E 143rd Street;40,812172;-73,920336;10454
East 4th St. Com. Gar.(Windsor Terrace Kensington Veterans Mem.);171 E 4th Street;40,648198;-73,977358;11218
East Harlem Community Garden;429-433 East 117th Street;40,796357;-73,934119;10035
Edgecomb Avenue Garden Park Sanctuary;339-341 Edgecomb Avenue;40,826462;-73,941811;10031
Edith Community Garden (830 Elton Tnts. Assoc.);836 Elton Avenue;40,8227;-73,912729;10451
Edward P. Bowman Park;52 W 129th Street;40,809753;-73,94231;10027
El Batey Borincano;811-815 Eagle Avenue;40,820573;-73,909101;10456
El Batey de Dona Provi;504 East 178th Street;40,847974;-73,896315;10457
El CataÃ±o Garden;169 East 110th Street;40,794391;-73,9434;10029
El Girasol;624-638 East 138th Street;40,806094;-73,915774;10454
El Girasol;624-638 East 138th Street;40,806094;-73,915774;10454
El Puente: EspÃ­ritu Tierra Community Garden;203-207 South 2nd Street;40,712385;-73,959633;11211
El Sol Brillante Jr.;537 East 12th Street;40,728694;-73,980372;10009
Elizabeth Langley Memorial Garden;121-123 West 137th Street;40,815768;-73,940759;10030
Elton Street Block Association;585 Elton Street;40,668638;-73,882081;11208
Essex Street Community Fulton Street Garden (Fulton Street Community Garden);3030 Fulton Street;40,680441;-73,883066;11208
Euclid 500 Block Association.;532 Euclid Avenue;40,673943;-73,871567;11208
F.A.R.R. Block Association;808 Herkimer Street;40,678383;-73,926777;11233
Family Community Garden - Brooklyn;793 Cleveland Street;40,665184;-73,881518;11208
Family Community Garden - Manhattan;156 East 111th Street;40,79527;-73,943572;10029
Family Garden;431 East 114th Street;40,794189;-73,935108;10029
Family Group Garden;419 East 158th Street;40,822053;-73,913995;10451
Fantasy Garden;181 Legion Street;40,664208;-73,917132;11212
Farmers Garden;1897-1905 Bergen Street;40,674381;-73,91832;11233
Firemens Memorial Garden Inc.;358-364 E 8th Street;40,72447;-73,97791;10009
First Quincy Street GreenThumb Garden;397-401 Quincy Street;40,687717;-73,944139;11221
First Street Garden;48 East 1st Street;40,72384;-73,989772;10003
First Temple of David;494 Bradford Street;40,666585;-73,890635;11207
FishBridge Pk. (South-Water-Front Neigh. Assoc.);338-340 Pearl Street;40,709257;-74,00198;10038
Five Star Block Association;250-252 West 121st Street;40,807004;-73,951621;10027
Floral Vineyard;2379-2385 Pitkin Avenue;40,673578;-73,884567;11207
Fordham Bedford Lot-Busters;2592-2597 Bainbridge Avenue;40,863711;-73,892599;10458
Fordham Bedford Lot-Busters;2592-2597 Bainbridge Avenue;40,863711;-73,892599;10458
Frank White Memorial Garden;506-508 West 143rd Street;40,824306;-73,949441;10031
Franklin Memorial Garden;1060-1062 Cauldwell Avenue;40,826309;-73,905603;10456
Friendly Garden;95 East 111th Street;40,796245;-73,945843;10029
Friendship Garden (Lucille McClarey Garden);499 West 150th Street;40,828638;-73,945842;10031
Garden of Angels;978 Greene Avenue;40,690966;-73,928771;11221
Garden of Eden - Bronx;1686 Weeks Avenue;40,844045;-73,907616;10457
Garden of Happiness;2156-2160 Prospect Avenue;40,848425;-73,885543;10457
Garden of Hope;392 Hancock Street;40,683685;-73,939967;11216
Garden of Life;1685 Weeks Avenue;40,844009;-73,907641;10457
Garden of Love;302 West 116th Street;40,804522;-73,955636;10026
Generation X Cultural Garden;270-272 East 4th Street;40,722906;-73,981662;10009
Genesis Homes Garden;298-304 Snediker Avenue;40,667834;-73,900611;11207
George Washington Carver Botanical Garden;109-13 156th Street;40,692461;-73,794877;11433
George Washington High School;549 Audubon Avenue;40,855954;-73,927051;10040
George Westinghouse HS - Marvin's Garden;105 Johnson Street (Tech), Brooklyn, NY 11201;40,694926;-73,986015;11201
Georgia Avenue Community Garden;328 New Lots Avenue;40,661178;-73,894558;11207
Gethsemane Garden;144 Newport Street;40,659215;-73,909847;11212
Glenmore Hendrix Block Assoc.;555 Glenmore Avenue;40,674105;-73,88988;11207
Glover Street Community Garden;1642 Glover Street, Bronx NY 10462;
Good Shepherd's Community Group;555-557 Shepherd Avenue;40,670738;-73,879951;11208
Granite Street Block Association;28-32 Granite Street;40,682511;-73,907811;11207
Grant Avenue Garden;1062 Grant Avenue;40,830303;-73,916893;10456
Green Dome;229 North 12th Street;40,719516;-73,952969;11211
Green Gems;947-953 Glenmore Avenue;40,676272;-73,875077;11208
Green Space @ President Street;222 5th Avenue;40,676008;-73,980745;11215
